num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.930673716120696	164
64	64	0.8	0.930307933834313	163
64	256	0.5	0.932125247291295	163
64	256	0.8	0.931279751614332	90
64	512	0.5	0.930850725669762	88
64	512	0.8	0.932273245381693	127
64	1024	0.5	0.932682016173459	150
64	1024	0.8	0.931784247002634	86
64	2048	0.5	0.931052913728513	162
64	2048	0.8	0.932314945223194	142
128	64	0.5	0.933228971384525	162
128	64	0.8	0.929978002837968	97
128	256	0.5	0.93085654117856	106
128	256	0.8	0.93075176289219	112
128	512	0.5	0.931589196159227	107
128	512	0.8	0.932181221563484	100
128	1024	0.5	0.932003617246473	125
128	1024	0.8	0.932893786604663	134
128	2048	0.5	0.932951346924706	149
128	2048	0.8	0.931802123083658	84
256	64	0.5	0.930716671583415	106
256	64	0.8	0.929391594686528	178
256	256	0.5	0.930640045646457	89
256	256	0.8	0.931487755181883	104
256	512	0.5	0.932748101500719	85
256	512	0.8	0.930949622362006	90
256	1024	0.5	0.932839266209673	104
256	1024	0.8	0.93225883878035	127
256	2048	0.5	0.931525423818421	98
256	2048	0.8	0.932512408181046	134
384	64	0.5	0.932220674503858	92
384	64	0.8	0.929347383602591	194
384	256	0.5	0.931640280117198	93
384	256	0.8	0.92985412589202	72
384	512	0.5	0.931407131082626	89
384	512	0.8	0.931039762748388	66
384	1024	0.5	0.933370129643552	107
384	1024	0.8	0.932785010155993	124
384	2048	0.5	0.932424646866445	193
384	2048	0.8	0.932942755832162	157
512	64	0.5	0.932829419495912	82
512	64	0.8	0.931419885550787	219
512	256	0.5	0.931377260514704	76
512	256	0.8	0.930072075301323	108
512	512	0.5	0.931945660414466	87
512	512	0.8	0.931527009866275	112
512	1024	0.5	0.933163877337174	107
512	1024	0.8	0.932251635479679	98
512	2048	0.5	0.932424646866445	193
512	2048	0.8	0.932942755832162	157
