Feature	Gain	Cover	Frequency
ctrx_quarter	0.202591877921583	0.0902801662030985	0.0136478267319389
mcaja_ahorro	0.103721963407765	0.0691717191935691	0.0136478267319389
mtarjeta_visa_consumo	0.0553820689381023	0.0572365296627872	0.017504821243139
Visa_status	0.0488960382099284	0.0138513926486888	0.00430203233941552
mcuentas_saldo	0.0359579034612034	0.0402532539737546	0.0155763239875389
foto_mes	0.0270963187582985	0.035485008433016	0.0520694259012016
cpayroll_trx	0.0264009881950007	0.0599926097116709	0.0123127132472927
cdescubierto_preacordado	0.0252901677375445	0.0116416774231504	0.00815902685061564
mcuenta_corriente	0.0245424805608411	0.0131231830364554	0.0194333184987391
mcaja_ahorro_lag1	0.0174531740881637	0.0117926226264364	0.00756564307966177
mpasivos_margen	0.014796425750477	0.0119018140976929	0.0078623349651387
mprestamos_personales	0.0146608353949313	0.0167095451371445	0.0154279780448005
mpayroll_sobre_edad	0.0131112997311961	0.0396333238826846	0.0102358700489542
ctarjeta_visa_transacciones	0.0125594786893332	0.0287050048674851	0.0091974484497849
mpayroll	0.0112197053845573	0.0363358035409586	0.00949414033526183
cprestamos_personales_delta2	0.0103994754164999	0.00466652623928779	0.00474707016763092
ctarjeta_visa	0.00911383879106682	0.00337029201883786	0.00281857291203086
mprestamos_personales_delta2	0.00746313465302777	0.00342242063841629	0.00934579439252336
ctrx_quarter_delta2	0.00714673908712334	0.0089469735558533	0.0163180537012313
ctrx_quarter_delta1	0.00652408950313451	0.0115920770396812	0.013054442960985
Visa_mpagominimo	0.00614481526109513	0.0289860795281019	0.0105325619344311
mcuenta_corriente_lag2	0.0060013880756558	0.000666074765782111	0.00489541611036938
Master_status	0.00571962275080408	0.00364049701047237	0.0013351134846462
cproductos	0.00548442187987134	0.0249675889056265	0.0114226375908619
Visa_cconsumos	0.00529327448769898	0.00246598872426099	0.00504376205310785
ctarjeta_master_delta2	0.00512874358328803	0.00339989935175483	0.000741729713692331
Visa_msaldototal	0.0050963832517141	0.00984307318023075	0.00548879988132325
ctrx_quarter_lag1	0.00507709748054628	0.0073361495387046	0.00593383770953864
ccomisiones_mantenimiento_delta2	0.00455504083565228	0.00426337444663062	0.00667556742323098
cproductos_delta2	0.00443834006929127	0.00927720426680881	0.00652722148049251
mprestamos_personales_delta1	0.00429460608327524	0.0040107080015743	0.00741729713692331
mrentabilidad_annual_delta1	0.00424936810146121	0.00307605811240922	0.00801068090787717
