num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.933916886598636	198
64	64	0.8	0.931140344616478	135
64	256	0.5	0.933345611987138	110
64	256	0.8	0.934169002122132	154
64	512	0.5	0.933917580494572	136
64	512	0.8	0.93421813656295	162
64	1024	0.5	0.933105590078531	135
64	1024	0.8	0.933188989761532	149
64	2048	0.5	0.934225670290257	196
64	2048	0.8	0.934168176055541	186
128	64	0.5	0.93308847397877	118
128	64	0.8	0.93189926851473	94
128	256	0.5	0.935381965261323	95
128	256	0.8	0.933612728879922	106
128	512	0.5	0.933777942198072	96
128	512	0.8	0.934363920794885	90
128	1024	0.5	0.934235318748037	110
128	1024	0.8	0.932811444286897	105
128	2048	0.5	0.932993377192843	221
128	2048	0.8	0.934001971457483	175
256	64	0.5	0.932237493219646	214
256	64	0.8	0.931283981075277	104
256	256	0.5	0.933955447387092	127
256	256	0.8	0.933631893624828	94
256	512	0.5	0.934579358961752	105
256	512	0.8	0.932791949115355	99
256	1024	0.5	0.93394295726024	111
256	1024	0.8	0.932900031668089	105
256	2048	0.5	0.932993377192843	221
256	2048	0.8	0.934001971457483	175
384	64	0.5	0.931813489759946	114
384	64	0.8	0.933010955889895	260
384	256	0.5	0.934144980105673	104
384	256	0.8	0.933195994806222	100
384	512	0.5	0.934537659120251	108
384	512	0.8	0.933709345628376	95
384	1024	0.5	0.93394295726024	111
384	1024	0.8	0.932900031668089	105
384	2048	0.5	0.932993377192843	221
384	2048	0.8	0.934001971457483	175
512	64	0.5	0.932239740120772	162
512	64	0.8	0.929457349587152	275
512	256	0.5	0.932892332727463	103
512	256	0.8	0.93315938353492	97
512	512	0.5	0.933919430883735	103
512	512	0.8	0.933316204016508	96
512	1024	0.5	0.93394295726024	111
512	1024	0.8	0.932900031668089	105
512	2048	0.5	0.932993377192843	221
512	2048	0.8	0.934001971457483	175
