num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.931978703078096	160
64	64	0.8	0.933032896218545	134
64	256	0.5	0.932360180629703	108
64	256	0.8	0.933483730321111	159
64	512	0.5	0.932950223474143	131
64	512	0.8	0.932885757237401	89
64	1024	0.5	0.933808077107303	147
64	1024	0.8	0.933819575954246	129
64	2048	0.5	0.932791618688719	220
64	2048	0.8	0.93407030368587	154
128	64	0.5	0.93318132386357	114
128	64	0.8	0.933503093321998	124
128	256	0.5	0.932937039451354	126
128	256	0.8	0.932726458556041	93
128	512	0.5	0.933923065576735	164
128	512	0.8	0.933603939531397	142
128	1024	0.5	0.933402841880545	113
128	1024	0.8	0.933231548712288	146
128	2048	0.5	0.932694473257647	180
128	2048	0.8	0.935112469296757	169
256	64	0.5	0.932548556855057	143
256	64	0.8	0.932273707978984	112
256	256	0.5	0.931309655224917	157
256	256	0.8	0.934076515706632	120
256	512	0.5	0.933548824368462	113
256	512	0.8	0.932705245165991	98
256	1024	0.5	0.933856055054893	155
256	1024	0.8	0.933472760156786	154
256	2048	0.5	0.932694473257647	180
256	2048	0.8	0.935112469296757	169
384	64	0.5	0.933415596348706	123
384	64	0.8	0.929222350163416	130
384	256	0.5	0.931328291287205	100
384	256	0.8	0.93235796677124	97
384	512	0.5	0.933900398309484	105
384	512	0.8	0.933769285020201	94
384	1024	0.5	0.933856055054893	155
384	1024	0.8	0.933472760156786	154
384	2048	0.5	0.932694473257647	180
384	2048	0.8	0.935112469296757	169
512	64	0.5	0.932963110112958	257
512	64	0.8	0.930691757415038	251
512	256	0.5	0.93091671186903	94
512	256	0.8	0.93124641156673	101
512	512	0.5	0.933889758571796	105
512	512	0.8	0.933796247833723	94
512	1024	0.5	0.933856055054893	155
512	1024	0.8	0.933472760156786	154
512	2048	0.5	0.932694473257647	180
512	2048	0.8	0.935112469296757	169
