num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.929049537032631	132
64	64	0.8	0.931746545323432	89
64	256	0.5	0.931151810420757	153
64	256	0.8	0.931168827392527	84
64	512	0.5	0.931998991273565	142
64	512	0.8	0.932507319610847	159
64	1024	0.5	0.932555925369047	142
64	1024	0.8	0.93317240234439	173
64	2048	0.5	0.933050474915596	151
64	2048	0.8	0.933232804333506	200
128	64	0.5	0.928608549643826	159
128	64	0.8	0.929978762819232	138
128	256	0.5	0.931100726462786	80
128	256	0.8	0.931037416719271	110
128	512	0.5	0.931648639911097	88
128	512	0.8	0.932408059449303	114
128	1024	0.5	0.932687666468939	145
128	1024	0.8	0.932902542910525	88
128	2048	0.5	0.933070432684428	199
128	2048	0.8	0.933473751436695	144
256	64	0.5	0.931844219437122	96
256	64	0.8	0.92954299617128	198
256	256	0.5	0.930733325085884	83
256	256	0.8	0.93059355461873	92
256	512	0.5	0.93335172487991	80
256	512	0.8	0.930999252442778	68
256	1024	0.5	0.932947976573016	130
256	1024	0.8	0.933513468718378	99
256	2048	0.5	0.933214564783182	136
256	2048	0.8	0.933637643048299	195
384	64	0.5	0.930670345769006	96
384	64	0.8	0.92997638374745	81
384	256	0.5	0.929934551735295	61
384	256	0.8	0.92922767003226	83
384	512	0.5	0.932801927999772	93
384	512	0.8	0.932037717275339	97
384	1024	0.5	0.933392532569493	108
384	1024	0.8	0.934801075234709	93
384	2048	0.5	0.933504613284525	145
384	2048	0.8	0.933380769381241	135
512	64	0.5	0.930108950913934	91
512	64	0.8	0.930913209346686	137
512	256	0.5	0.930538869010423	71
512	256	0.8	0.929964422303216	105
512	512	0.5	0.932349111337387	78
512	512	0.8	0.931024364867137	81
512	1024	0.5	0.932949893047507	92
512	1024	0.8	0.933728642543936	94
512	2048	0.5	0.933504613284525	145
512	2048	0.8	0.933380769381241	135
