num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.929881650430823	127
64	64	0.8	0.930364932429075	82
64	256	0.5	0.930259559374759	126
64	256	0.8	0.932304635912141	173
64	512	0.5	0.931376930088068	186
64	512	0.8	0.932990469438444	117
64	1024	0.5	0.93127945423036	126
64	1024	0.8	0.933779329989945	95
64	2048	0.5	0.932026482769705	202
64	2048	0.8	0.932699363571864	139
128	64	0.5	0.930257312473632	166
128	64	0.8	0.929808692229529	181
128	256	0.5	0.93027459378671	122
128	256	0.8	0.931365926881079	95
128	512	0.5	0.931432706104275	86
128	512	0.8	0.933943023345567	139
128	1024	0.5	0.932808800873807	85
128	1024	0.8	0.933261353194882	131
128	2048	0.5	0.932571818890253	191
128	2048	0.8	0.931896525973648	86
256	64	0.5	0.929817514620718	111
256	64	0.8	0.930000835318537	99
256	256	0.5	0.932390513794916	88
256	256	0.8	0.931571187907548	86
256	512	0.5	0.932173126110894	86
256	512	0.8	0.932733298387412	82
256	1024	0.5	0.93334435636592	118
256	1024	0.8	0.933507983636215	99
256	2048	0.5	0.932362526658821	115
256	2048	0.8	0.932247406018734	139
384	64	0.5	0.930302845264114	111
384	64	0.8	0.930753481110699	161
384	256	0.5	0.931314149027171	89
384	256	0.8	0.931385091625985	79
384	512	0.5	0.931583777162391	106
384	512	0.8	0.932869268948249	79
384	1024	0.5	0.932880305197902	122
384	1024	0.8	0.933280121427824	99
384	2048	0.5	0.932326906667428	108
384	2048	0.8	0.932188457906819	192
512	64	0.5	0.930405145350712	105
512	64	0.8	0.930099302456154	108
512	256	0.5	0.930251827391469	117
512	256	0.8	0.930664728516189	114
512	512	0.5	0.931604726211133	118
512	512	0.8	0.932526087843789	87
512	1024	0.5	0.933225865374143	102
512	1024	0.8	0.93349992122629	91
512	2048	0.5	0.932326906667428	108
512	2048	0.8	0.932188457906819	192
