Feature	Gain	Cover	Frequency
ctrx_quarter	0.1081150565527	0.0438188439575349	0.00754361150400754
mcaja_ahorro	0.0997189201327538	0.037876241653175	0.00864372151500864
mtarjeta_visa_consumo	0.0605504744933983	0.0290782098060942	0.00864372151500864
mcuentas_saldo	0.0340950810297653	0.036324718482935	0.013044161559013
Master_status	0.0321280700869815	0.00223213946010687	0.000628634292000629
cpayroll_trx	0.0238612640883483	0.0228891207930327	0.0055005500550055
mcuenta_corriente	0.0208126702566313	0.00915114153902379	0.0106082036775106
ctrx_quarter_ma3	0.0196834025815918	0.00319079301763486	0.00385038503850385
ctarjeta_visa_transacciones	0.0180043450659661	0.0214740244065631	0.00667923935250668
Visa_status	0.0159738482835192	0.00575069083518028	0.0033003300330033
foto_mes	0.0144701878373135	0.00703632059839605	0.015951595159516
mpayroll	0.0113700432133327	0.0164203043290512	0.00424328147100424
mpayroll_sobre_edad	0.011324474157543	0.0346927864353286	0.00683639792550684
cproductos	0.011309342696464	0.0231310051115045	0.00754361150400754
mcaja_ahorro_lag1	0.0111255531891957	0.00937869819522543	0.00557912934150558
cdescubierto_preacordado_delta3	0.0107977762568682	0.00226173676125845	0.00157158573000157
mprestamos_personales	0.00970883753828806	0.0192768682039676	0.00982241081250982
cdescubierto_preacordado	0.00933748353193778	0.00787465715233704	0.00416470218450417
cdescubierto_preacordado_delta1	0.0076226846520417	0.0010216669839308	0.00055005500550055
ctrx_quarter_delta1	0.00749840706725594	0.0177323999576569	0.0104510451045105
mpasivos_margen	0.00656392318160404	0.0114690235008229	0.00620776363350621
mprestamos_personales_delta3	0.00632972964735369	0.00270407398547945	0.00345748860600346
Visa_mpagominimo	0.00629586374171224	0.024029984592148	0.00919377652050919
ctrx_quarter_delta2	0.00583911582260917	0.00619035346815223	0.00636492220650637
Visa_mpagominimo_delta1	0.0056249395896699	0.00473385961406307	0.00644350149300644
mcomisiones_lag3	0.00470640235244898	0.0070452665474443	0.00707213578500707
mprestamos_personales_ma3	0.00458362474848815	0.00191963376899818	0.0033003300330033
mrentabilidad_annual_lag3	0.00448172515521708	0.00305147524258316	0.00746503221750747
ccomisiones_mantenimiento_delta3	0.00423242998996547	0.00275983730361011	0.0033003300330033
Visa_status_ma3	0.00409390078878871	0.0037133637361895	0.000942951438000943
cproductos_delta3	0.00405042948520136	0.0186096319422425	0.00636492220650637
Visa_msaldototal	0.0039399386572098	0.00261193848936857	0.00322175074650322
mpasivos_margen_ma3	0.00386252559155341	0.00318319072891797	0.00259311645450259
ctrx_quarter_delta3	0.00382346253203006	0.00210147344320982	0.00573628791450574
internet	0.00377673206999223	0.00311689735692735	0.0022002200220022
ctarjeta_visa	0.00375151079641087	0.0010963051937688	0.000942951438000943
