num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.931706629785767	163
64	64	0.8	0.931660204843367	147
64	256	0.5	0.932550803756184	121
64	256	0.8	0.932119035270532	146
64	512	0.5	0.933377597285532	167
64	512	0.8	0.932716215330316	115
64	1024	0.5	0.932343097572607	121
64	1024	0.8	0.932347459204206	130
64	2048	0.5	0.933164009507828	161
64	2048	0.8	0.932822612707204	175
128	64	0.5	0.93048358863417	106
128	64	0.8	0.931486995200619	168
128	256	0.5	0.932911629643023	76
128	256	0.8	0.932706170360572	122
128	512	0.5	0.934667847214953	114
128	512	0.8	0.933302094799138	111
128	1024	0.5	0.932309327970377	92
128	1024	0.8	0.932012142253689	101
128	2048	0.5	0.932967141317921	232
128	2048	0.8	0.932982043559218	145
256	64	0.5	0.932690045540721	182
256	64	0.8	0.931606444429641	203
256	256	0.5	0.933968466196562	93
256	256	0.8	0.931603668845896	112
256	512	0.5	0.93429505988388	109
256	512	0.8	0.933021661712911	106
256	1024	0.5	0.933481152993348	174
256	1024	0.8	0.932768753165487	148
256	2048	0.5	0.932967141317921	232
256	2048	0.8	0.932982043559218	145
384	64	0.5	0.93325368729692	73
384	64	0.8	0.932484652343597	253
384	256	0.5	0.934484460431807	85
384	256	0.8	0.933291950701403	106
384	512	0.5	0.932983398308427	107
384	512	0.8	0.933425707403777	107
384	1024	0.5	0.933481152993348	174
384	1024	0.8	0.932768753165487	148
384	2048	0.5	0.932967141317921	232
384	2048	0.8	0.932982043559218	145
512	64	0.5	0.931968195511062	119
512	64	0.8	0.931151116524821	239
512	256	0.5	0.933858764553311	87
512	256	0.8	0.933554309450625	98
512	512	0.5	0.932959508462623	85
512	512	0.8	0.933599511814471	113
512	1024	0.5	0.933481152993348	174
512	1024	0.8	0.932768753165487	148
512	2048	0.5	0.932967141317921	232
512	2048	0.8	0.932982043559218	145
