num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.930596759757102	74
64	64	0.8	0.930676723003086	78
64	256	0.5	0.931654752803868	169
64	256	0.8	0.930318342273356	90
64	512	0.5	0.933660706827513	139
64	512	0.8	0.932017759506506	89
64	1024	0.5	0.933306687729382	163
64	1024	0.8	0.932478638578817	149
64	2048	0.5	0.932624356725425	129
64	2048	0.8	0.932674449403487	207
128	64	0.5	0.931918631515617	102
128	64	0.8	0.930175796222457	80
128	256	0.5	0.932402772623122	99
128	256	0.8	0.929482891566138	110
128	512	0.5	0.932826478698849	102
128	512	0.8	0.932420483490828	116
128	1024	0.5	0.933470876724959	83
128	1024	0.8	0.9334504894015	80
128	2048	0.5	0.933266838277044	185
128	2048	0.8	0.932526946953043	134
256	64	0.5	0.930768680735969	101
256	64	0.8	0.930635254460231	169
256	256	0.5	0.933297138399593	84
256	256	0.8	0.930778461364403	115
256	512	0.5	0.932594221816194	102
256	512	0.8	0.932464397190792	73
256	1024	0.5	0.933461657821806	101
256	1024	0.8	0.933254149894211	113
256	2048	0.5	0.932314813052539	88
256	2048	0.8	0.932096467131273	123
384	64	0.5	0.929449088921244	108
384	64	0.8	0.930092099155482	146
384	256	0.5	0.93141509436456	79
384	256	0.8	0.930028954625286	80
384	512	0.5	0.931330472103004	96
384	512	0.8	0.933006263831659	96
384	1024	0.5	0.932891737959518	86
384	1024	0.8	0.934433178217853	107
384	2048	0.5	0.932405416036213	94
384	2048	0.8	0.932163411567787	147
512	64	0.5	0.93066228335908	80
512	64	0.8	0.928957348001104	149
512	256	0.5	0.932195727292817	86
512	256	0.8	0.929224464893888	93
512	512	0.5	0.932115169278888	86
512	512	0.8	0.933754217565586	97
512	1024	0.5	0.9329358168728	81
512	1024	0.8	0.933682316729527	87
512	2048	0.5	0.932405416036213	94
512	2048	0.8	0.932163411567787	147
