num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.931886613174559	102
64	64	0.8	0.930686173204885	85
64	256	0.5	0.932166947132796	93
64	256	0.8	0.93361989913793	129
64	512	0.5	0.932704980824681	131
64	512	0.8	0.933465854240087	96
64	1024	0.5	0.932108626831489	138
64	1024	0.8	0.933481615590639	74
64	2048	0.5	0.932980292298046	107
64	2048	0.8	0.933087813125498	120
128	64	0.5	0.930307603407677	103
128	64	0.8	0.93069677989991	119
128	256	0.5	0.930670246641015	102
128	256	0.8	0.932940773272344	134
128	512	0.5	0.932402673495131	86
128	512	0.8	0.933011947169803	61
128	1024	0.5	0.932065208771479	102
128	1024	0.8	0.9316293760382	128
128	2048	0.5	0.932502363211303	88
128	2048	0.8	0.932218625858713	93
256	64	0.5	0.93168207908669	95
256	64	0.8	0.930773075410231	58
256	256	0.5	0.931440405044901	71
256	256	0.8	0.930839259865482	74
256	512	0.5	0.932275360112165	96
256	512	0.8	0.931436605138584	107
256	1024	0.5	0.932266075123685	68
256	1024	0.8	0.932188920504109	93
256	2048	0.5	0.932508178720102	102
256	2048	0.8	0.933262212304136	163
384	64	0.5	0.930454676303493	104
384	64	0.8	0.929921665096479	109
384	256	0.5	0.93061285153429	92
384	256	0.8	0.929519007197485	63
384	512	0.5	0.931661493507249	66
384	512	0.8	0.931933104202287	94
384	1024	0.5	0.933770474556092	127
384	1024	0.8	0.932866823791141	106
384	2048	0.5	0.932334836906699	102
384	2048	0.8	0.932529061683516	134
512	64	0.5	0.930701339787491	152
512	64	0.8	0.931003217562414	114
512	256	0.5	0.931001301087923	84
512	256	0.8	0.929895561392212	94
512	512	0.5	0.932551332438802	76
512	512	0.8	0.933676501220728	86
512	1024	0.5	0.933503555919289	97
512	1024	0.8	0.931800437907813	76
512	2048	0.5	0.932334836906699	102
512	2048	0.8	0.932529061683516	134
