Feature	Gain	Cover	Frequency
ctrx_quarter	0.180517502629907	0.0811576895309416	0.0110957004160888
mtarjeta_visa_consumo	0.0658258236188103	0.0579786704500143	0.0163353367236862
mcaja_ahorro	0.0644946347025413	0.0660869696450503	0.0124826629680999
mcuentas_saldo	0.042163573825575	0.0357263253961403	0.018955154877485
Visa_status_ma3	0.0416674219765107	0.00811147044550882	0.00184928340268146
cpayroll_trx	0.0319282411170023	0.0533109928790765	0.0127908768685468
ctrx_quarter_lag1	0.0210646699246516	0.0046852418791121	0.00215749730312837
cdescubierto_preacordado	0.0199324609525504	0.00853765127294009	0.00678070580983202
ctarjeta_visa_transacciones	0.0192431490678475	0.0333253603159409	0.00878409616273694
mcuenta_corriente	0.017877884386976	0.0114138321184373	0.0167976575743566
Visa_mfinanciacion_limite	0.0165168623171385	0.00274976381275992	0.00431499460625674
mcaja_ahorro_lag1	0.0145135742788604	0.0134777995789469	0.00585606410849129
mprestamos_personales	0.0118083198354331	0.0146725487848585	0.0152565880721221
cproductos	0.0117376166075461	0.0261677106376441	0.0112498073663122
mpayroll_sobre_edad	0.011161248133768	0.0465926599329473	0.00816766836184312
foto_mes	0.0108783887368975	0.00931261888848561	0.0208044382801664
Visa_status	0.00988691015499326	0.00986949584651441	0.00462320850670365
ctrx_quarter_delta1	0.00897792289054561	0.022682700465261	0.0127908768685468
mprestamos_personales_delta3	0.00792258464036171	0.00274718679848681	0.00493142240715056
mprestamos_personales_delta2	0.00772671091735184	0.00254301739304572	0.00369856680536292
mprestamos_personales_ma3	0.00728969610827214	0.00132816568413693	0.00416088765603329
Visa_mpagominimo	0.00706569131073493	0.0334765829773766	0.0115580212667591
ctarjeta_visa	0.0069375913170182	0.00246008411679171	0.0013869625520111
ctrx_quarter_delta2	0.00628267966740702	0.00637055546372101	0.00785945446139621
mcomisiones_lag3	0.00565475547714795	0.0133305514319926	0.00986284481430113
mcuenta_corriente_delta3	0.00559365864471084	0.00400621205564842	0.00693481276005548
mcaja_ahorro_ma3	0.00550332589472952	0.00207731836527795	0.00154106950223455
Master_status_ma3	0.00518445647765518	0.00892875126180757	0.00215749730312837
mpasivos_margen	0.00503847578675229	0.0115195255369737	0.00631838495916166
cdescubierto_preacordado_delta3	0.00477220234913018	0.00456089720779488	0.00277392510402219
mpayroll	0.0045309063597807	0.0285569313410925	0.00523963630759747
Master_status_delta2	0.00435840565070955	8.95236244588348e-06	0.000154106950223455
cproductos_delta3	0.00393189949368948	0.00817229753791131	0.0075512405609493
Master_status	0.00384501764241168	0.00524446592082419	0.00200339035290492
mcomisiones_mantenimiento_delta3	0.0036840600814216	0.00464479499808159	0.00431499460625674
mtarjeta_master_consumo	0.00362917957848316	0.0124859148477263	0.00601017105871475
mrentabilidad_annual_lag3	0.00350540472543356	0.00273813589435957	0.00585606410849129
mcuentas_saldo_delta2	0.00337325141757561	0.00228381096550987	0.00523963630759747
ctarjeta_visa_transacciones_delta3	0.003368651615869	0.007320795883177	0.00585606410849129
cproductos_delta2	0.00331547156050899	0.00374858229501432	0.00493142240715056
internet_ma3	0.00317921130307876	0.00465179444356963	0.00601017105871475
Visa_mpagominimo_delta1	0.00315514058963252	0.00573882863342119	0.00739713361072584
mcuenta_corriente_delta2	0.00299387223411269	0.00103366640411679	0.00416088765603329
mrentabilidad_annual_lag2	0.00293464224271778	0.00154561731378058	0.00570195715826784
cprestamos_personales_delta3	0.00292138925871578	0.00418638506862283	0.00431499460625674
ccomisiones_mantenimiento_delta3	0.00289984373836482	0.00417252055266678	0.00385267375558638
