num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.933713740302639	193
64	64	0.8	0.932687996895576	192
64	256	0.5	0.934416326459402	128
64	256	0.8	0.934622545723116	149
64	512	0.5	0.934725870132287	104
64	512	0.8	0.934484063919843	173
64	1024	0.5	0.933931326242642	153
64	1024	0.8	0.933145307360214	179
64	2048	0.5	0.932575850095216	147
64	2048	0.8	0.932096599301927	192
128	64	0.5	0.933718795830174	138
128	64	0.8	0.932405250822895	102
128	256	0.5	0.934190446810828	105
128	256	0.8	0.933859094979947	131
128	512	0.5	0.934210635878306	91
128	512	0.8	0.934387315000735	158
128	1024	0.5	0.932504411856448	105
128	1024	0.8	0.932967075232594	102
128	2048	0.5	0.933739678793589	223
128	2048	0.8	0.932695728878865	234
256	64	0.5	0.930473874091062	152
256	64	0.8	0.931848647154048	179
256	256	0.5	0.932404490841631	117
256	256	0.8	0.93374952550735	105
256	512	0.5	0.935097071415506	104
256	512	0.8	0.934068585467361	101
256	1024	0.5	0.93179677017215	116
256	1024	0.8	0.932807908721889	96
256	2048	0.5	0.933739678793589	223
256	2048	0.8	0.932695728878865	234
384	64	0.5	0.934065082945016	222
384	64	0.8	0.931536195726764	139
384	256	0.5	0.931963701708808	115
384	256	0.8	0.932052256047336	100
384	512	0.5	0.934983801164582	112
384	512	0.8	0.935460012032816	103
384	1024	0.5	0.93179677017215	116
384	1024	0.8	0.932807908721889	96
384	2048	0.5	0.933739678793589	223
384	2048	0.8	0.932695728878865	234
512	64	0.5	0.932310385335613	236
512	64	0.8	0.931381754316958	315
512	256	0.5	0.932845478230436	119
512	256	0.8	0.931771988174427	120
512	512	0.5	0.934983404652619	112
512	512	0.8	0.935460474630107	103
512	1024	0.5	0.93179677017215	116
512	1024	0.8	0.932807908721889	96
512	2048	0.5	0.933739678793589	223
512	2048	0.8	0.932695728878865	234
