num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.931057275360112	98
64	64	0.8	0.931431648739039	126
64	256	0.5	0.931437596418492	165
64	256	0.8	0.930675368253878	161
64	512	0.5	0.932433237958989	133
64	512	0.8	0.931438885082374	90
64	1024	0.5	0.933116097645565	102
64	1024	0.8	0.933633215331373	139
64	2048	0.5	0.932726557684032	110
64	2048	0.8	0.932206168774524	123
128	64	0.5	0.932039997219129	124
128	64	0.8	0.929931643980895	141
128	256	0.5	0.931603371461924	94
128	256	0.8	0.931806881227221	85
128	512	0.5	0.933695533794979	131
128	512	0.8	0.931193014622304	89
128	1024	0.5	0.933364974988025	116
128	1024	0.8	0.933046906307924	153
128	2048	0.5	0.93264424840893	147
128	2048	0.8	0.932399071844796	170
256	64	0.5	0.930331195869508	99
256	64	0.8	0.930484712084733	104
256	256	0.5	0.930866883532277	77
256	256	0.8	0.930318309230693	83
256	512	0.5	0.933551401696225	77
256	512	0.8	0.9311219728955	131
256	1024	0.5	0.934113523489897	132
256	1024	0.8	0.93366004597424	111
256	2048	0.5	0.933371980032715	144
256	2048	0.8	0.932755073502744	131
384	64	0.5	0.930614107155508	131
384	64	0.8	0.930021520025969	160
384	256	0.5	0.931179136703579	63
384	256	0.8	0.930023436500459	126
384	512	0.5	0.932760756840889	84
384	512	0.8	0.93068495062633	129
384	1024	0.5	0.932957625030796	86
384	1024	0.8	0.933240139804832	102
384	2048	0.5	0.933746948179587	137
384	2048	0.8	0.932331070043045	117
512	64	0.5	0.930741189239828	117
512	64	0.8	0.93161999192173	144
512	256	0.5	0.93066010254328	71
512	256	0.8	0.928048079983336	126
512	512	0.5	0.933628853699774	77
512	512	0.8	0.931526216842348	93
512	1024	0.5	0.933114908109674	108
512	1024	0.8	0.933555498986516	107
512	2048	0.5	0.933746948179587	137
512	2048	0.8	0.932331070043045	117
