num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.933978907678269	146
64	64	0.8	0.932828163874694	137
64	256	0.5	0.933495757850672	127
64	256	0.8	0.933838344187187	121
64	512	0.5	0.93329492454113	131
64	512	0.8	0.933309198971818	151
64	1024	0.5	0.934316868041876	147
64	1024	0.8	0.933037522191453	192
64	2048	0.5	0.933287258643168	203
64	2048	0.8	0.933393523849402	122
128	64	0.5	0.93359904921718	141
128	64	0.8	0.933049714934332	91
128	256	0.5	0.934226529399512	124
128	256	0.8	0.932814682467933	137
128	512	0.5	0.934703731547655	94
128	512	0.8	0.933035803972944	117
128	1024	0.5	0.933393656020056	104
128	1024	0.8	0.932306948898596	151
128	2048	0.5	0.933563561396441	190
128	2048	0.8	0.933704785740795	128
256	64	0.5	0.932030183548031	218
256	64	0.8	0.932269742859348	142
256	256	0.5	0.932790098726192	99
256	256	0.8	0.931180061898161	115
256	512	0.5	0.935072487673765	119
256	512	0.8	0.933018027019911	98
256	1024	0.5	0.933948442342402	104
256	1024	0.8	0.932499521542231	156
256	2048	0.5	0.933563561396441	190
256	2048	0.8	0.933704785740795	128
384	64	0.5	0.931810185493583	143
384	64	0.8	0.932898743004207	223
384	256	0.5	0.933202999850911	120
384	256	0.8	0.931978504822114	144
384	512	0.5	0.934571560893135	97
384	512	0.8	0.931745686214178	100
384	1024	0.5	0.933948442342402	104
384	1024	0.8	0.932499521542231	156
384	2048	0.5	0.933563561396441	190
384	2048	0.8	0.933704785740795	128
512	64	0.5	0.931333974625349	195
512	64	0.8	0.93329419760253	306
512	256	0.5	0.933666125824348	118
512	256	0.8	0.931930725130505	107
512	512	0.5	0.934809864583234	119
512	512	0.8	0.932210728662105	90
512	1024	0.5	0.933948442342402	104
512	1024	0.8	0.932499521542231	156
512	2048	0.5	0.933563561396441	190
512	2048	0.8	0.933704785740795	128
