Feature	Gain	Cover	Frequency
ctrx_quarter	0.169761720701451	0.0920070320708226	0.0120300751879699
mcaja_ahorro	0.0986348333334185	0.0852030625142087	0.0183792815371763
Visa_status	0.048014141767531	0.0107569031544426	0.00451127819548872
ctrx_quarter_lag1	0.0463626231191713	0.0113223816791508	0.00551378446115288
mtarjeta_visa_consumo	0.0383311619355097	0.0496380570970171	0.0153717627401838
foto_mes	0.0368252073958269	0.0327989935189809	0.0472848788638262
mcuentas_saldo	0.0340936544349244	0.0355874425044986	0.0180451127819549
mcaja_ahorro_lag1	0.0305343878837174	0.0151648571174362	0.0075187969924812
ctarjeta_visa_transacciones	0.0302077018900533	0.0432100603547359	0.0126984126984127
mcuenta_corriente	0.0261118852995739	0.00954974451121395	0.018546365914787
mprestamos_personales	0.0235114226785793	0.014111710722147	0.0165413533834586
cpayroll_trx	0.023203113526227	0.0636461618484461	0.0128654970760234
mpayroll_sobre_edad	0.0145493441683912	0.0444287210427212	0.0131996658312448
mpayroll	0.011456018401837	0.0308844372312423	0.00902255639097744
cproductos	0.0096703933651744	0.0249727890387116	0.0135338345864662
cdescubierto_preacordado_lag1	0.00955917184773486	7.64752435255868e-05	0.00050125313283208
cdescubierto_preacordado	0.00952759289372793	0.0107935525132684	0.00735171261487051
Visa_msaldototal	0.00811357799612018	0.00946442928734438	0.00802005012531328
internet	0.00735423658374583	0.00178468213372501	0.00401002506265664
mcuentas_saldo_lag1	0.00711325826287349	0.00311860189182672	0.00701754385964912
ctrx_quarter_delta1	0.00693171423790162	0.0103404258041207	0.0142021720969089
ctrx_quarter_delta2	0.0067308824670182	0.0105220963759001	0.0157059314954052
cdescubierto_preacordado_delta1	0.00649419941203602	0.00369104863283881	0.00233918128654971
cproductos_delta2	0.00633041652104159	0.0092333616584868	0.00885547201336675
mpasivos_margen	0.00594023638276824	0.0075537281767692	0.0075187969924812
mprestamos_personales_delta2	0.00579015407833423	0.00599379345811944	0.010359231411863
Visa_mpagominimo	0.00557556200927997	0.0316251697892485	0.0128654970760234
ctarjeta_visa_delta2	0.00556639437799049	0.00217397840530721	0.000668337510442774
cprestamos_personales_delta2	0.00550902098926606	0.00567277607384493	0.00718462823725982
cdescubierto_preacordado_delta2	0.00549859565370962	0.00959083137379341	0.00584795321637427
mactivos_margen	0.00500008962681283	0.00665214212798678	0.00868838763575606
ccomisiones_mantenimiento_delta2	0.00484110096746455	0.00471784584451723	0.0076858813700919
mcomisiones	0.00476766747245228	0.000611068566972591	0.00467836257309942
mrentabilidad_annual_lag2	0.00450973463859255	0.0037865961667945	0.00802005012531328
mprestamos_personales_delta1	0.00434785172688351	0.00312720981721368	0.00634920634920635
mcuentas_saldo_delta2	0.00411148621804992	0.00614091630087253	0.00868838763575606
mcuenta_corriente_delta2	0.00405140200465975	0.00207013600123677	0.00701754385964912
cproductos_delta1	0.0040116992783686	0.00648620750933081	0.00534670008354219
Visa_mconsumototal	0.00400978643027394	0.00408722774201424	0.00367585630743525
mcuenta_corriente_lag1	0.00400527340076601	0.00332103043627124	0.00852130325814536
Master_status	0.0037853696059632	0.00657051132385939	0.0025062656641604
ctarjeta_visa	0.00352981063770949	0.00671312879772988	0.00284043441938179
Visa_cconsumos	0.00325587601035834	0.000922541049241217	0.00284043441938179
cprestamos_personales_delta1	0.00325139602136801	0.00115385605743978	0.00133667502088555
mtarjeta_master_consumo	0.0031526228277621	0.00849270134400496	0.00618212197159566
mprestamos_personales_lag1	0.00312448006522656	0.00192641736091927	0.00568086883876358
mtransferencias_recibidas	0.00297913468298737	0.00765135107015186	0.0076858813700919
Visa_fechaalta	0.00293824390945349	0.00378295990940189	0.00618212197159566
chomebanking_transacciones	0.00291675506473983	0.00186981784338255	0.00868838763575606
Visa_mpagominimo_delta1	0.00290530397790215	0.00717381261736481	0.00685045948203843
Master_mfinanciacion_limite	0.00271515613730798	0.000495102385996511	0.0051796157059315
mprestamos_personales_lag2	0.00271478646472614	0.00199640820083444	0.00451127819548872
mcomisiones_mantenimiento	0.00266695558385238	0.00784214621797729	0.00918964076858814
mcomisiones_mantenimiento_delta2	0.00262735254227291	0.00295760172480407	0.00634920634920635
ctarjeta_master	0.00245494170925893	0.000337688124819191	0.00100250626566416
mrentabilidad_annual_delta1	0.00238960935536939	0.00185661260280927	0.00718462823725982
mcomisiones_lag2	0.00235382982721454	0.00253241355680296	0.00701754385964912
ccomisiones_mantenimiento	0.00224908579117702	0.00213562585066476	0.00534670008354219
Master_status_lag1	0.0021795798807917	0.00013235232581875	0.000334168755221387
internet_lag2	0.00208006186414911	0.00454472190058894	0.0051796157059315
mcuentas_saldo_delta1	0.00207104512310701	0.00375291536006043	0.0076858813700919
Visa_msaldototal_delta2	0.00206239707645514	0.000459184219205102	0.00267335004177109
mcomisiones_mantenimiento_delta1	0.00206065274841542	0.000802294986746444	0.00417710944026734
Master_fechaalta_lag1	0.00200289438260278	0.000571106952014927	0.00350877192982456
cliente_antiguedad_lag1	0.00194976984317942	0.00626458189018684	0.00467836257309942
mrentabilidad_annual	0.00188849820020464	0.00186096253865461	0.00568086883876358
mpayroll_delta2	0.00186881158548666	0.00613797620835099	0.00618212197159566
mttarjeta_visa_debitos_automaticos_lag2	0.00184493159191873	0.00159026605289094	0.00685045948203843
ccomisiones_mantenimiento_delta1	0.00184351804076779	0.00432117635505526	0.0050125313283208
mcuenta_corriente_lag2	0.00178277107880888	0.000479504352328639	0.00484544695071011
ctarjeta_master_delta2	0.00177977773144625	0.00437211022892427	0.00100250626566416
Master_Fvencimiento	0.0017616054579474	0.000690873580211698	0.00601503759398496
ccallcenter_transacciones_delta1	0.00175833596709456	0.00277371130654896	0.00584795321637427
Visa_msaldototal_lag1	0.00174180652866671	0.00178259801750722	0.00434419381787803
ccallcenter_transacciones_delta2	0.00173776051158727	0.00412026273542452	0.00534670008354219
numero_de_cliente	0.00172101805237351	0.000417208542356289	0.00534670008354219
mtarjeta_visa_consumo_delta2	0.00172038255342807	0.00098379261190696	0.00417710944026734
cprestamos_personales	0.00170449929160573	0.000716776167490052	0.0025062656641604
cliente_edad_lag2	0.00168226650283044	0.002354088079121	0.00584795321637427
chomebanking_transacciones_delta2	0.00165422892523823	0.000648700875569185	0.0050125313283208
mttarjeta_visa_debitos_automaticos_delta2	0.0016526453587966	0.00450300017067423	0.00651629072681704
mtarjeta_visa_consumo_lag1	0.00161997059682308	0.00382043240656582	0.00350877192982456
thomebanking	0.00160297310628879	0.00205466713023366	0.0050125313283208
cliente_edad_lag1	0.00158844236903797	0.000915040857894391	0.00534670008354219
mcuentas_saldo_lag2	0.00156544897200833	0.00066102605866394	0.0051796157059315
mcomisiones_lag1	0.00154645488620379	0.000857281065572544	0.00451127819548872
mrentabilidad_annual_lag1	0.00154115778721457	0.00295673042411638	0.00417710944026734
mactivos_margen_lag1	0.00153563157479012	0.00365647901183539	0.0051796157059315
mcaja_ahorro_delta2	0.00153492598003166	0.00106527455059022	0.00484544695071011
ctarjeta_visa_transacciones_delta2	0.00152586997018626	0.00491469850240006	0.00451127819548872
Visa_msaldototal_lag2	0.00151741284277968	0.00093376725508667	0.00401002506265664
Visa_mpagominimo_delta2	0.00149920691529735	0.000915426156690959	0.00384294068504595
internet_lag1	0.00148786357207276	0.00344649773529905	0.00434419381787803
ccallcenter_transacciones	0.00148055682594244	0.00556398608295493	0.00484544695071011
Master_fechaalta	0.00145634884752405	0.000687605108033995	0.00401002506265664
Visa_Fvencimiento_lag1	0.00145502665807164	0.000325575293902091	0.00384294068504595
Visa_Fvencimiento_lag2	0.00143863725475918	0.000336956932784796	0.00401002506265664
Visa_cconsumos_delta2	0.00137679889787523	0.0086369410133769	0.00417710944026734
mactivos_margen_delta1	0.00135269349682084	0.000254330043700371	0.00317460317460317
mrentabilidad	0.00134545991243552	0.000920551068524852	0.00367585630743525
Master_fechaalta_lag2	0.001345114423545	0.00102730948394204	0.00434419381787803
Visa_msaldototal_delta1	0.00130811071933917	0.000774980366946577	0.00384294068504595
cliente_edad	0.0012875861242057	0.00181671885298054	0.00551378446115288
mpasivos_margen_lag2	0.00127502407581603	0.00262859157969849	0.00417710944026734
mactivos_margen_delta2	0.0012619685507227	0.000469530367572031	0.00401002506265664
Master_mfinanciacion_limite_lag1	0.00125737306804694	0.000231663090634103	0.00350877192982456
Visa_Fvencimiento	0.00122896988854739	0.000621891960439814	0.00384294068504595
mrentabilidad_delta1	0.00121132926498089	5.83968488548086e-05	0.00200501253132832
chomebanking_transacciones_lag2	0.00120915737777496	0.000201763028341358	0.00417710944026734
mcuenta_corriente_delta1	0.00118774776658135	0.00081226021471222	0.00284043441938179
mcomisiones_mantenimiento_lag1	0.00117506250377965	0.00300930181787081	0.00434419381787803
mactivos_margen_lag2	0.00117115280189268	0.000319215674561014	0.00367585630743525
mpasivos_margen_delta1	0.00116904140046596	0.000818974484081956	0.00401002506265664
Visa_mpagominimo_lag2	0.00116743389907317	0.00144762668704337	0.00401002506265664
mtransferencias_recibidas_lag2	0.00116218278347389	0.000294806120119361	0.00334168755221387
ctarjeta_visa_transacciones_delta1	0.00116043627546431	0.00300213438457556	0.00317460317460317
cliente_antiguedad	0.00115294250049646	0.00481229002282821	0.00417710944026734
Master_status_delta1	0.00113592315436688	8.49364926661242e-05	0.000334168755221387
Visa_mpagominimo_lag1	0.00108880496573039	0.00434196059809284	0.00334168755221387
mpayroll_lag2	0.00108710027541194	0.00152824389263206	0.00284043441938179
chomebanking_transacciones_delta1	0.00107635011596135	0.00106568830895699	0.00451127819548872
cproductos_lag1	0.00107420408235954	0.00202357833358559	0.00317460317460317
Visa_cconsumos_lag2	0.0010579342853295	0.000794048278981268	0.00484544695071011
mttarjeta_visa_debitos_automaticos_lag1	0.00104982059959816	0.000363754901925628	0.00384294068504595
Visa_cconsumos_lag1	0.00103341022246026	0.000265803628886802	0.00233918128654971
Visa_fechaalta_lag2	0.0010291946079177	0.0013273258946059	0.00434419381787803
mcomisiones_mantenimiento_lag2	0.00102222963774205	0.00139537710535198	0.00434419381787803
mtransferencias_recibidas_lag1	0.00101871062977451	0.00121131155128025	0.00384294068504595
Visa_fechaalta_lag1	0.00100640058450365	0.000814462547606239	0.00233918128654971
Master_mpagominimo	0.000971437685636386	0.00565517930266986	0.00300751879699248
mcaja_ahorro_lag2	0.000957527950531406	0.000741509723192456	0.00334168755221387
chomebanking_transacciones_lag1	0.000952081133727313	0.000160748409286256	0.00284043441938179
Master_msaldototal	0.000945960418367605	0.00421556070084152	0.00317460317460317
ccomisiones_otras	0.000931117313794018	0.00121079708981892	0.00334168755221387
mpayroll_sobre_edad_delta2	0.000926970931461036	0.00396545143032174	0.00334168755221387
