Feature	Gain	Cover	Frequency
ctrx_quarter	0.119739253391663	0.0804869903425071	0.0127606598194833
mcaja_ahorro	0.101048809978167	0.0648887467752734	0.01291627762216
ctarjeta_visa_transacciones	0.0635733230284897	0.0382504762393895	0.0119825708061002
mtarjeta_visa_consumo	0.0430942886362689	0.052607998290749	0.0138499844382197
ctrx_quarter_lag1	0.0404598394892134	0.0140092370542881	0.00715841892312481
cdescubierto_preacordado_delta1	0.0366477199860262	0.00191703343551158	0.000622471210706505
mcaja_ahorro_lag1	0.0345135236871526	0.0163994063746359	0.00560224089635854
mcuentas_saldo	0.0298424765261251	0.0357810260687402	0.0202303143479614
cpayroll_trx	0.02557895934482	0.0588094919840844	0.0110488639900405
foto_mes	0.0238205740421767	0.0271170576237133	0.0448179271708684
Master_status	0.0180568127740567	0.00569314662252694	0.00233426704014939
mcuenta_corriente	0.0166619536845962	0.0110395754393534	0.0200746965452848
Visa_status	0.0150033303939735	0.0162090128710046	0.00544662309368192
mpayroll_sobre_edad	0.0140602993979083	0.0470440396669905	0.00824774354186119
mpayroll	0.0139483432565676	0.0258434331882274	0.00762527233115468
mprestamos_personales	0.013673143493544	0.0155526188603038	0.019140989729225
mprestamos_personales_delta1	0.013313900376332	0.00322664252867988	0.00762527233115468
mcuentas_saldo_lag2	0.0120664908091283	0.00287028264893691	0.00560224089635854
mpasivos_margen	0.0113425823487226	0.0145847870729066	0.00933706816059757
cdescubierto_preacordado_lag1	0.00874525833037279	0.000767504639235736	0.00202303143479614
cproductos	0.00862348603483545	0.0288676549306609	0.0119825708061002
mprestamos_personales_lag1	0.00780382578168461	0.00167329873100323	0.00451291627762216
cdescubierto_preacordado	0.00748375621665384	0.00805344009186738	0.00778089013383131
Visa_msaldototal	0.00703704299602888	0.00966322302685215	0.00746965452847806
cproductos_delta2	0.00681190255243898	0.0093558712865727	0.00855897914721444
ctrx_quarter_delta2	0.00668850032083544	0.00959418966431419	0.0150949268596327
cprestamos_personales_delta2	0.00638469290306261	0.00793648388001433	0.00622471210706505
Visa_mpagominimo	0.0055474474468757	0.0301135032276094	0.0115157173980703
ctrx_quarter_delta1	0.00534430824473121	0.00975146359526315	0.0115157173980703
mactivos_margen	0.00530766445396498	0.00714193405325529	0.00918145035792095
Visa_status_delta1	0.00520537556081094	0.00318704563662285	0.00186741363211951
mrentabilidad_annual_lag1	0.00499805480468726	0.00353112108477909	0.00933706816059757
mcuentas_saldo_delta2	0.00498749429968297	0.00952482221059248	0.0113600995953937
mprestamos_personales_lag2	0.00475183728193275	0.000999337598422377	0.00373482726423903
ctarjeta_visa	0.00470966156768065	0.00413413947308698	0.00186741363211951
Visa_mconsumototal	0.00435287278545654	0.00116999542467186	0.00326797385620915
mprestamos_personales_delta2	0.00434756049413004	0.00372142549742811	0.00887021475256769
mcuenta_corriente_lag2	0.00434591743065296	0.000840423583480463	0.00669156551509493
ccomisiones_mantenimiento	0.0041558712014825	0.00332644670163872	0.00482415188297541
ctrx_quarter_lag2	0.00390098590343128	0.00407469756471521	0.00451291627762216
ctarjeta_visa_delta2	0.00387442222557629	0.0020942030026516	0.00202303143479614
ccomisiones_mantenimiento_delta2	0.00387255211621352	0.00494279402218542	0.00700280112044818
mpayroll_sobre_edad_lag1	0.00344604941948362	0.00488059231815637	0.00280112044817927
mcuentas_saldo_lag1	0.00338545904726956	0.00375474754961581	0.00840336134453782
Visa_cconsumos	0.00336217564894204	0.0017797017110399	0.00373482726423903
cproductos_delta1	0.00316341324774665	0.00628296132229403	0.00669156551509493
cprestamos_personales_delta1	0.00313791653568051	0.00136065822604526	0.00155617802676626
Master_fechaalta	0.00308111590400869	0.00245180003217197	0.00700280112044818
mcuenta_corriente_delta1	0.00306128360562554	0.000816539101034934	0.00404606286959228
mtarjeta_master_consumo	0.00298112726111659	0.0099479051617179	0.0059134765017118
mcuenta_corriente_lag1	0.00297043255622193	0.0037158998317284	0.00715841892312481
cpayroll_trx_lag1	0.00296281002671578	0.00298088100432345	0.00217864923747277
mrentabilidad_annual_lag2	0.00291601356999891	0.00339245097077736	0.00809212573918456
mcomisiones_mantenimiento_delta2	0.00287529773524294	0.00310036820999279	0.00606909430438842
mtransferencias_recibidas	0.00283127361094457	0.00722827941349665	0.0065359477124183
mcuenta_corriente_delta2	0.00269839726858338	0.00553705719668401	0.00731403672580143
Master_msaldototal_lag1	0.00264336251013708	0.000788214243038114	0.00140056022408964
Master_mfinanciacion_limite	0.00253314329856959	0.00167273381318344	0.00497976968565204
Master_Fvencimiento	0.00252811530027717	0.000738778871818415	0.00420168067226891
