num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.932423986013173	246
64	64	0.8	0.934294762499908	135
64	256	0.5	0.933634570080582	128
64	256	0.8	0.933718267147556	107
64	512	0.5	0.932313590473985	138
64	512	0.8	0.932740171261447	101
64	1024	0.5	0.933959148165419	190
64	1024	0.8	0.93283067511713	152
64	2048	0.5	0.933281641390351	118
64	2048	0.8	0.933748930739405	201
128	64	0.5	0.932264059521204	117
128	64	0.8	0.933661962448731	149
128	256	0.5	0.932348946124069	81
128	256	0.8	0.934090129284047	145
128	512	0.5	0.932616294315499	101
128	512	0.8	0.933151486338313	107
128	1024	0.5	0.935035479890499	170
128	1024	0.8	0.931386314204539	133
128	2048	0.5	0.933173988392244	181
128	2048	0.8	0.933842243221496	190
256	64	0.5	0.931156667692311	82
256	64	0.8	0.93275976556098	135
256	256	0.5	0.933317922235016	116
256	256	0.8	0.933888701206559	141
256	512	0.5	0.93294064110169	118
256	512	0.8	0.932221302314467	102
256	1024	0.5	0.933145439530868	97
256	1024	0.8	0.933071225708355	170
256	2048	0.5	0.933173988392244	181
256	2048	0.8	0.933842243221496	190
384	64	0.5	0.931428344472676	225
384	64	0.8	0.932128055917703	119
384	256	0.5	0.934249328837416	96
384	256	0.8	0.934463577468393	117
384	512	0.5	0.933873964178581	117
384	512	0.8	0.932517166324609	149
384	1024	0.5	0.933145439530868	97
384	1024	0.8	0.933071225708355	170
384	2048	0.5	0.933173988392244	181
384	2048	0.8	0.933842243221496	190
512	64	0.5	0.933170089357936	292
512	64	0.8	0.934540302533341	268
512	256	0.5	0.934308343034659	90
512	256	0.8	0.933167181603537	120
512	512	0.5	0.933873699837272	117
512	512	0.8	0.932206631371815	151
512	1024	0.5	0.933145439530868	97
512	1024	0.8	0.933071225708355	170
512	2048	0.5	0.933173988392244	181
512	2048	0.8	0.933842243221496	190
