Feature	Gain	Cover	Frequency
ctrx_quarter	0.178641287805788	0.0517652787510387	0.00887021475256769
mcaja_ahorro	0.0714387212534786	0.043616114819353	0.00859010270774977
Visa_status	0.0540798825538473	0.00724291681869869	0.00224089635854342
mtarjeta_visa_consumo	0.0423707310119159	0.0358170589258895	0.0122315592903828
mcuenta_corriente	0.0326085310270228	0.0082002357754597	0.0120448179271709
mcuentas_saldo	0.0237818351716746	0.0399904411084563	0.0149393090569561
mcaja_ahorro_lag1	0.0193865934994951	0.00682202135672459	0.00401493930905696
ctarjeta_visa_transacciones	0.0190600400077379	0.0228417313011887	0.00625583566760037
foto_mes	0.0162826637790986	0.00791388994902052	0.0144724556489262
mpayroll_sobre_edad	0.0140699139591359	0.0329612378986343	0.00718954248366013
cpayroll_trx	0.0126754065907038	0.0286159062861623	0.0061624649859944
mprestamos_personales	0.0124304305161138	0.0188484222672074	0.0109243697478992
mpayroll	0.0106340689935147	0.026572291479089	0.00550887021475257
Visa_mpagominimo	0.0090149051593142	0.0322972603380366	0.0123249299719888
cdescubierto_preacordado	0.00860484871833751	0.00848643339067591	0.00532212885154062
ctrx_quarter_delta2	0.00819776584036757	0.00581632102580189	0.00737628384687208
cdescubierto_preacordado_lag1	0.00789169920584803	4.46499386657496e-05	0.000373482726423903
ctarjeta_visa	0.00728007349410026	0.00123697086690629	0.00102707749766573
Visa_status_ma3	0.00719383693953677	0.00476654790815229	0.00130718954248366
ctrx_quarter_delta1	0.00705774968458135	0.0196047197267623	0.0111111111111111
cproductos	0.00618423873360692	0.0271770054744361	0.00887021475256769
mpasivos_margen	0.00607984254143117	0.0132202911340254	0.00606909430438842
mcomisiones_lag3	0.00573345873547431	0.00887302928833189	0.00849673202614379
mcuenta_corriente_delta3	0.00550701477754032	0.00259534067471646	0.00569561157796452
mprestamos_personales_delta2	0.00529211768695861	0.00867552301260228	0.00448179271708684
cdescubierto_preacordado_delta1	0.00524141935059536	0.00135296271366394	0.00102707749766573
mrentabilidad_annual_lag3	0.0050756095789755	0.00339098559847762	0.00597572362278245
