Feature	Gain	Cover	Frequency
ctrx_quarter	0.131274436332292	0.0755540565571485	0.0116108171663727
mcaja_ahorro	0.128329433340901	0.0624183411868454	0.0105820105820106
mtarjeta_visa_consumo	0.06936888069764	0.0588589202938539	0.0124926513815403
cdescubierto_preacordado_delta2	0.0416946416577312	0.00284411161542826	0.00117577895355673
mcuentas_saldo	0.0330524927155522	0.0388348775074009	0.0148442092886537
cpayroll_trx	0.0255662746177987	0.0467791320782049	0.0101410934744268
mcuenta_corriente	0.0197017630481888	0.0130262759303692	0.0167548500881834
cproductos	0.019664397734999	0.0219781152720577	0.0105820105820106
mprestamos_personales	0.0154838956957315	0.0191361475636366	0.0127865961199295
cdescubierto_preacordado	0.0153275518590065	0.00998297560370074	0.00587889476778366
mpayroll	0.0148417977034974	0.0436115624288203	0.00808348030570253
mcaja_ahorro_lag1	0.0135899210094421	0.00999312839162367	0.0051440329218107
foto_mes	0.0124487264419382	0.00772785735632371	0.0204291593180482
Visa_status	0.0124218727503493	0.0145445828582103	0.00470311581422693
ctarjeta_visa_transacciones	0.0106121528428432	0.0264967069931854	0.00837742504409171
mpasivos_margen	0.00883549302125979	0.01545631580807	0.00764256319811875
ctarjeta_visa	0.0086007012334844	0.00188336362739769	0.00132275132275132
Visa_mpagominimo	0.0074936989287241	0.0303076290733346	0.0126396237507349
ctrx_quarter_delta1	0.0074187714698972	0.0175230478876579	0.0114638447971781
ctarjeta_visa_delta2	0.00718381696686079	0.0030178052936745	0.000440917107583774
mpayroll_sobre_edad	0.00687436533687816	0.0302321200388246	0.00573192239858907
Visa_cconsumos	0.00590174009943526	0.00170885990151057	0.00293944738389183
mtarjeta_visa_consumo_ma3	0.00555159046933087	0.000398509091001519	0.000881834215167548
cprestamos_personales_delta3	0.00542517269989971	0.00233593409576048	0.0033803644914756
ccomisiones_mantenimiento_delta3	0.00527674805400586	0.00534510365186422	0.00543797766019988
ctrx_quarter_delta2	0.00482698628190002	0.00675263728040524	0.00881834215167548
Visa_status_delta1	0.00467787634142777	0.00166216337425522	0.000881834215167548
Master_status_delta2	0.00462484401386929	0.00155457588069467	0.000293944738389183
mcuenta_corriente_delta3	0.00453986616716767	0.00239017580174852	0.00558495002939447
cproductos_delta3	0.00425369654867039	0.00678487030685017	0.00705467372134039
ctrx_quarter_lag1	0.00419964967736209	0.00575933854406354	0.00411522633744856
mcomisiones_lag3	0.0041813050481648	0.00924877189335509	0.00720164609053498
Visa_mconsumototal	0.00416369834660073	0.00122912278240728	0.00249853027630805
ctrx_quarter_ma3	0.00379309398704012	0.00287701729627462	0.00293944738389183
Visa_mfinanciacion_limite	0.0037816961777493	0.00141053051857636	0.00411522633744856
mcuenta_corriente_delta2	0.00365154737868932	0.00143806927600701	0.00661375661375661
mprestamos_personales_delta2	0.00363558638536361	0.00510134514622087	0.00602586713697825
Visa_mpagominimo_delta1	0.00363032028633689	0.00736902628792938	0.00617283950617284
mprestamos_personales_delta1	0.0035470582682337	0.0046853184171905	0.0051440329218107
mrentabilidad_annual_lag3	0.00350832601166872	0.00371599193877226	0.0069077013521458
Visa_msaldototal	0.00347944309082854	0.00765910062706046	0.00573192239858907
ctarjeta_visa_delta3	0.00333596527271858	0.000296085293356664	0.000734861845972957
mpasivos_margen_ma3	0.00332185101557967	0.0040456441179401	0.0033803644914756
ctrx_quarter_delta3	0.0032992259708286	0.00279966490246878	0.00631981187536743
Visa_mpagominimo_ma3	0.00327537361665658	0.00422230892498927	0.00352733686067019
ccomisiones_mantenimiento	0.00320957087846946	0.00118810231335638	0.00205761316872428
mtarjeta_master_consumo	0.00316822802273051	0.0100110582093709	0.00440917107583774
Master_status_ma3	0.00313271228594524	0.00554283542229449	0.00279247501469724
ctarjeta_visa_transacciones_delta3	0.00310503802209189	0.00965480898893437	0.00587889476778366
mprestamos_personales_delta3	0.00287530834416958	0.00214855547839399	0.00485008818342152
internet_ma3	0.00282786211811137	0.00473537535409386	0.00734861845972957
mprestamos_personales_ma3	0.00273235865097557	0.00168179915805881	0.00293944738389183
mrentabilidad_annual_lag1	0.00272554488740407	0.00154149776171529	0.00352733686067019
mcuentas_saldo_delta3	0.00266353493759103	0.0026032698537639	0.00558495002939447
cproductos_delta1	0.0026204950906563	0.0054523390752487	0.00396825396825397
mcomisiones_mantenimiento_delta3	0.00258266905024299	0.00476430808043303	0.0051440329218107
mrentabilidad_annual	0.00257283595717538	0.00163570658858517	0.00426219870664315
mrentabilidad_annual_delta1	0.00248656377848345	0.0027231168315855	0.0069077013521458
ctrx_quarter_lag3	0.00246869455644206	0.00174107575380057	0.00235155790711346
mcomisiones_mantenimiento_delta2	0.00240085867181968	0.00178109153478805	0.00440917107583774
Visa_mpagominimo_lag1	0.00234329018983335	0.00733407688264632	0.00382128159905938
Visa_mpagominimo_delta2	0.00233864464639913	0.000514904063682133	0.00382128159905938
mprestamos_personales_lag1	0.00226751706525423	0.00144871152734546	0.00352733686067019
mcuentas_saldo_delta2	0.00210779210231487	0.00461630407560329	0.00617283950617284
mcomisiones	0.0020954015755609	0.001107638535149	0.00411522633744856
mcomisiones_mantenimiento	0.00208439052509659	0.00473954581138276	0.00587889476778366
mcaja_ahorro_ma3	0.00207750881757043	0.00373718198359703	0.00249853027630805
cliente_antiguedad_lag3	0.00206858648880594	0.00108875841416235	0.0033803644914756
mcuenta_corriente_lag1	0.00195093958829981	0.00257096813069926	0.00470311581422693
cprestamos_personales_delta1	0.0019359317672025	0.000467981410053535	0.0017636684303351
mrentabilidad_annual_delta2	0.00193530788909116	0.000720633265591597	0.00499706055261611
mcomisiones_ma3	0.00192218074849914	0.00306907873321876	0.00558495002939447
mttarjeta_visa_debitos_automaticos_delta2	0.00190976577651153	0.00215291771374627	0.00529100529100529
mtransferencias_recibidas_ma3	0.00187136852042923	0.0011992111292371	0.00455614344503233
mtarjeta_visa_consumo_delta2	0.00183561580265335	0.00185202365700914	0.00205761316872428
numero_de_cliente	0.00182721421043563	0.000401362863079096	0.0051440329218107
mprestamos_personales_lag2	0.00181823247738512	0.000730179233373661	0.00205761316872428
internet	0.00181708046052841	0.00247886313780833	0.00293944738389183
Master_status	0.00181364949653137	0.0041045486069917	0.00191064079952969
Visa_cconsumos_lag3	0.00180113587235559	0.000286665269377422	0.00279247501469724
mcuentas_saldo_ma3	0.00178308500430193	0.000820629782672977	0.00249853027630805
Visa_fultimo_cierre	0.00178188777214708	0.00023812824518538	0.00220458553791887
mcuentas_saldo_lag1	0.00177803674288719	0.0047638959007147	0.00499706055261611
mactivos_margen	0.00177687588730056	0.00117572833472913	0.00470311581422693
Visa_msaldototal_lag1	0.00176577358857536	0.000541844588049385	0.00220458553791887
mrentabilidad_delta2	0.00174794813320006	0.000199895713951489	0.00235155790711346
cprestamos_personales_delta2	0.00173792164775411	0.00329230553664299	0.00235155790711346
Visa_Fvencimiento	0.00169464060012611	0.000777677221192422	0.00426219870664315
cproductos_delta2	0.00169183417286669	0.00235656598055002	0.00264550264550265
cpayroll_trx_ma3	0.00159825728263338	0.00566694159053879	0.00205761316872428
mcaja_ahorro_delta2	0.00159154029736324	0.000927146753909542	0.00396825396825397
mrentabilidad_lag2	0.00158372836062125	9.72629640883154e-05	0.00146972369194591
Visa_fechaalta	0.0015680315870632	0.006261971674048	0.00470311581422693
cprestamos_personales	0.00154484673245966	0.000483956236497823	0.00191064079952969
mrentabilidad_annual_ma3	0.00152085130599316	0.000730720219253963	0.00352733686067019
Master_Fvencimiento	0.0015100785987176	0.000327319356456478	0.0033803644914756
cproductos_ma3	0.00150923711463712	0.00569989879384994	0.00382128159905938
mttarjeta_visa_debitos_automaticos_lag2	0.00149093212575186	0.00183010371059983	0.00440917107583774
mpasivos_margen_delta3	0.00147290731405959	0.000188970089056695	0.00117577895355673
mactivos_margen_delta3	0.00145153135488449	0.000355590877830825	0.00352733686067019
ccallcenter_transacciones_ma3	0.00143374581640967	0.00247013866710376	0.00352733686067019
mactivos_margen_ma3	0.00141658339715662	0.00401099812272747	0.00382128159905938
ccomisiones_mantenimiento_delta1	0.00140729912473631	0.00199711950493735	0.00264550264550265
chomebanking_transacciones_ma3	0.00138912685509382	0.00027935194173629	0.00396825396825397
kmes_lag3	0.00138366461336229	0.00125166386075323	0.00323339212228101
Master_Fvencimiento_lag3	0.00138300789555762	0.000696059912245564	0.00293944738389183
Visa_mpagominimo_delta3	0.00137434397820317	0.00333143684865157	0.00279247501469724
cliente_edad_lag3	0.00136582914721349	0.000663706666716128	0.00323339212228101
chomebanking_transacciones_lag2	0.00135668473693288	0.000100526053525063	0.00323339212228101
ccallcenter_transacciones_delta3	0.00135222260103367	0.00155339372636364	0.00279247501469724
mactivos_margen_delta2	0.00133526820741705	0.000441344295756718	0.0033803644914756
mttarjeta_visa_debitos_automaticos_delta3	0.00132228088229042	0.000631195991433165	0.00367430922986479
Master_mfinanciacion_limite	0.00132117156031952	0.000320870461280169	0.00249853027630805
chomebanking_transacciones	0.0012913343142228	0.000351603611527852	0.00411522633744856
mttarjeta_visa_debitos_automaticos_lag1	0.00128542787488546	0.000684501705977506	0.00382128159905938
mcuentas_saldo_delta1	0.0012845902544	0.0057504337447322	0.00455614344503233
kmes_lag2	0.0012844901829673	0.00224834018089789	0.00264550264550265
Master_mpagominimo_delta1	0.00126739654434898	0.00353993395186396	0.00323339212228101
mcaja_ahorro_delta3	0.00126461210414327	0.000425979151812454	0.0033803644914756
cliente_edad	0.0012600178419378	0.0020571288646228	0.00455614344503233
Master_msaldototal	0.00124941588136061	0.00560678911289559	0.00382128159905938
cliente_edad_lag1	0.00124903675637553	0.00152414614051742	0.00264550264550265
