num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.931899103301411	91
64	64	0.8	0.930298880144478	89
64	256	0.5	0.932970742968257	147
64	256	0.8	0.931046371281114	94
64	512	0.5	0.932156109139125	152
64	512	0.8	0.932371150794028	163
64	1024	0.5	0.931864838059227	100
64	1024	0.8	0.932897156956353	150
64	2048	0.5	0.932136647010247	200
64	2048	0.8	0.933809002301884	136
128	64	0.5	0.931984782928204	96
128	64	0.8	0.9311640362063	63
128	256	0.5	0.932360345843021	94
128	256	0.8	0.930920148306048	197
128	512	0.5	0.932057972428144	96
128	512	0.8	0.931889355715641	86
128	1024	0.5	0.932724608166878	96
128	1024	0.8	0.931914897694627	96
128	2048	0.5	0.931883606292169	118
128	2048	0.8	0.932512011669083	93
256	64	0.5	0.930419221525419	122
256	64	0.8	0.929997233668201	102
256	256	0.5	0.931173949005389	99
256	256	0.8	0.93113353782777	89
256	512	0.5	0.932693019380448	94
256	512	0.8	0.931574921728538	129
256	1024	0.5	0.932565012101545	95
256	1024	0.8	0.933187866310969	106
256	2048	0.5	0.933540365446573	153
256	2048	0.8	0.932687798639594	89
384	64	0.5	0.931043000929424	148
384	64	0.8	0.930746674321991	97
384	256	0.5	0.931319534981343	73
384	256	0.8	0.931639982733226	69
384	512	0.5	0.931874618687662	96
384	512	0.8	0.931823666900344	99
384	1024	0.5	0.93311259512322	96
384	1024	0.8	0.933921281272898	92
384	2048	0.5	0.933482672955875	94
384	2048	0.8	0.932687137786321	89
512	64	0.5	0.929894107515012	119
512	64	0.8	0.928680913077176	128
512	256	0.5	0.931674016676764	73
512	256	0.8	0.930343884252342	69
512	512	0.5	0.930636510081449	97
512	512	0.8	0.933170023272609	98
512	1024	0.5	0.93331831874698	94
512	1024	0.8	0.933354665676973	86
512	2048	0.5	0.933482672955875	94
512	2048	0.8	0.932687137786321	89
