Feature	Gain	Cover	Frequency
ctrx_quarter	0.162193022459666	0.0981875528565443	0.0132850241545894
mcaja_ahorro	0.105150216338315	0.0783194334352718	0.0158730158730159
mtarjeta_visa_consumo	0.0593222083159224	0.0559779237756306	0.015527950310559
Visa_status	0.0501082187046931	0.00891905497303374	0.00276052449965493
ctrx_quarter_lag1	0.033878533924924	0.0124731287602149	0.00483091787439614
mcuenta_corriente	0.0273410047790754	0.0128642116101796	0.0215665976535542
mcaja_ahorro_lag1	0.0254442949207777	0.0111839268831122	0.00534851621808144
cpayroll_trx	0.0225366115093023	0.0597190653700771	0.0132850241545894
mcuentas_saldo	0.0204498400390259	0.0392767553526491	0.0205314009661836
foto_mes	0.0192484873944351	0.0257728512254401	0.03743961352657
ctarjeta_visa_transacciones	0.019244907260529	0.0396401017979006	0.0108695652173913
cdescubierto_preacordado	0.0177908527285436	0.0125442911718466	0.0082815734989648
cdescubierto_preacordado_delta1	0.0146475266278713	0.00104212145552508	0.00189786059351277
mpayroll_sobre_edad	0.013431850394373	0.0516239792777103	0.0141476880607315
ctarjeta_visa	0.0131864215855718	0.0103524829592067	0.00241545893719807
mprestamos_personales	0.0125728283583334	0.0125481781943307	0.0179434092477571
cproductos	0.0123204532596448	0.0284285343732251	0.0136300897170462
mpayroll	0.0114083568183743	0.0290035626307145	0.00810904071773637
Visa_mpagominimo	0.0110746756538139	0.033047814375417	0.0134575569358178
cprestamos_personales	0.0098971976205627	0.000853360065944352	0.00500345065562457
mcuenta_corriente_lag1	0.00989097615136342	0.0025621070187173	0.00707384403036577
Master_status	0.00954042417590023	0.00899058029516154	0.00224292615596963
mpasivos_margen	0.00816094349508932	0.011552310708647	0.00759144237405107
cproductos_delta2	0.00778073932529407	0.0101924987742527	0.010351966873706
ctrx_quarter_delta1	0.00725002970206709	0.00960467963361542	0.0138026224982747
ctrx_quarter_delta2	0.0071092717680294	0.00953963648638767	0.0153554175293306
mpasivos_margen_lag1	0.00699481532765068	0.00390438740895409	0.00534851621808144
Visa_mfinanciacion_limite	0.0068322298564546	0.000309998602315274	0.0031055900621118
mprestamos_personales_delta2	0.00640374359697966	0.00361973547997159	0.0119047619047619
mrentabilidad	0.00563172861271031	0.00101071942655504	0.00483091787439614
cprestamos_personales_delta2	0.0055881524783115	0.00603452822671734	0.0062111801242236
Visa_mpagominimo_lag1	0.00506254300812284	0.00552170145879703	0.00431331953071084
mcuentas_saldo_delta2	0.00492625431533528	0.00629600181552024	0.00966183574879227
mprestamos_personales_delta1	0.00468224821107286	0.00520550142366364	0.0100069013112491
mprestamos_personales_lag1	0.00463447735321751	0.00159249690629073	0.00534851621808144
mrentabilidad_annual_lag1	0.00434469859019464	0.0039055309193854	0.00793650793650794
mrentabilidad_annual_lag2	0.00398443171443923	0.00318754788079032	0.00759144237405107
Visa_msaldototal	0.00396617138477533	0.0076035957226739	0.00534851621808144
