Feature	Gain	Cover	Frequency
ctrx_quarter	0.156312000338795	0.0566981387314914	0.00962621607782898
mcaja_ahorro	0.0961732562740607	0.0462805081148997	0.00911418330773169
mtarjeta_visa_consumo	0.0553921298742355	0.0401819862441517	0.0115719406041987
Visa_status	0.0527513841981333	0.00860441421145878	0.00276497695852535
mcuentas_saldo	0.0282927636783408	0.0408708275618193	0.0150537634408602
mcuenta_corriente	0.0266146274748155	0.00906191040310153	0.0117767537122376
ctarjeta_visa_transacciones	0.0261617284185391	0.02533968636226	0.00737327188940092
cdescubierto_preacordado	0.0256955800598248	0.00714160077373679	0.00532514080901178
cpayroll_trx	0.0167184966533073	0.0335917669694851	0.00788530465949821
mprestamos_personales	0.0124793828834223	0.0168841177763022	0.01321044546851
mpayroll_sobre_edad	0.0121345733430775	0.0310145210335371	0.00686123911930364
mpayroll	0.0116619260173804	0.032607566777648	0.00645161290322581
foto_mes	0.0102451858985223	0.00756383904360014	0.0164874551971326
ctrx_quarter_delta1	0.00927673635742863	0.0178554889435714	0.00993343573988735
mcaja_ahorro_lag1	0.00871698313210214	0.00947483249350346	0.00552995391705069
Visa_mpagominimo	0.00651460289521665	0.0266862008271918	0.0105478750640041
mpasivos_margen	0.00643626729944666	0.0136413657148957	0.00675883256528418
cproductos	0.00564834221140646	0.0300741523903166	0.00880696364567332
mpasivos_margen_ma3	0.00550105988370077	0.00514449025924323	0.00378904249871992
ctrx_quarter_delta2	0.00513935324057475	0.0091482216737627	0.00798771121351767
mcuenta_corriente_delta3	0.00510480728893204	0.00297838238341803	0.00624679979518689
Visa_status_ma3	0.00482759765217315	0.00415108051088557	0.00112647209421403
cdescubierto_preacordado_delta3	0.00462295782614635	0.00395361482433277	0.00163850486431132
mprestamos_personales_delta1	0.00455274299230966	0.0093211564679834	0.00481310803891449
ccomisiones_mantenimiento_delta3	0.00443047639498162	0.00461880869689286	0.00399385560675883
mrentabilidad_annual_lag3	0.00419822213847667	0.00226395536789588	0.00481310803891449
mcomisiones_lag3	0.00410543747042172	0.00819386257751086	0.00696364567332309
cproductos_delta3	0.00409116995620621	0.0126954736225402	0.00768049155145929
cprestamos_personales_delta3	0.00400605570817774	0.0055484084230821	0.00327700972862263
mprestamos_personales_lag1	0.0038796337629847	0.00104613288865322	0.00276497695852535
mprestamos_personales_lag3	0.00377804212547654	0.0003587861961394	0.00194572452636969
Visa_mpagominimo_delta1	0.00374257965758231	0.00772534043139006	0.00686123911930364
ctarjeta_master_delta2	0.00368559580130931	0.00129132757310892	0.000409626216077829
mcuenta_corriente_lag1	0.00358926677456872	0.00120675463718069	0.00368663594470046
cproductos_ma3	0.00354925577181329	0.00310048659454421	0.00378904249871992
ctrx_quarter_lag1	0.00338754134669324	0.00275215896651876	0.00317460317460317
mprestamos_personales_delta3	0.00335995389727517	0.00200215606437559	0.00450588837685612
cproductos_delta2	0.00325603653295202	0.00221130457888164	0.0028673835125448
ctrx_quarter_ma3	0.00319906629713899	0.00232637357988929	0.00307219662058372
mcomisiones_delta3	0.00307018001682743	0.000817405736623808	0.00296979006656426
Visa_msaldototal	0.00298523136291609	0.00401014783078454	0.00378904249871992
ctarjeta_visa_transacciones_delta3	0.00289989371145668	0.0122747128420008	0.00471070148489503
mcuentas_saldo_delta3	0.00285995288037299	0.00925346042041528	0.00675883256528418
cprestamos_personales_lag1	0.00275680195847338	0.000572030173964791	0.000307219662058372
chomebanking_transacciones_ma3	0.0026409965375312	0.000923703096761075	0.00409626216077829
Visa_status_delta1	0.00259083066108956	0.00151908179080259	0.000614439324116743
mcomisiones_lag2	0.00254659693229097	0.00318910358630241	0.00522273425499232
Master_Fvencimiento	0.00250887515079246	0.0026335885442911	0.00522273425499232
ctarjeta_visa_ma3	0.00250596274912549	0.000295634951427281	0.000307219662058372
mrentabilidad_annual	0.00250339962130586	0.00130618052957296	0.00471070148489503
Visa_mpagominimo_delta2	0.00249500292938879	0.00137632700080076	0.00266257040450589
Visa_mconsumototal	0.00247372020328573	0.00102752908944669	0.0028673835125448
