num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.933539308081337	192
64	64	0.8	0.931785139154552	107
64	256	0.5	0.932490533937723	144
64	256	0.8	0.933362628958908	177
64	512	0.5	0.93258526725435	84
64	512	0.8	0.933277973654688	162
64	1024	0.5	0.933309859825091	140
64	1024	0.8	0.931594482985407	191
64	2048	0.5	0.933384470159567	186
64	2048	0.8	0.932674779830124	130
128	64	0.5	0.931754508605367	81
128	64	0.8	0.932002427710582	152
128	256	0.5	0.933845150975895	97
128	256	0.8	0.932319967708066	103
128	512	0.5	0.933785608096034	104
128	512	0.8	0.933206766714565	103
128	1024	0.5	0.93401241293919	155
128	1024	0.8	0.932775295612886	141
128	2048	0.5	0.933659385120968	222
128	2048	0.8	0.931482534441029	123
256	64	0.5	0.933536466412265	66
256	64	0.8	0.931515643189986	87
256	256	0.5	0.933992256914376	149
256	256	0.8	0.93162299880412	85
256	512	0.5	0.932819704952805	98
256	512	0.8	0.933842044965514	123
256	1024	0.5	0.933368411425043	169
256	1024	0.8	0.93145213519049	165
256	2048	0.5	0.933659385120968	222
256	2048	0.8	0.931482534441029	123
384	64	0.5	0.931683698177208	303
384	64	0.8	0.931514850166059	102
384	256	0.5	0.93249687812914	102
384	256	0.8	0.932129311538921	92
384	512	0.5	0.932978838420846	101
384	512	0.8	0.932882221672392	98
384	1024	0.5	0.933368411425043	169
384	1024	0.8	0.93145213519049	165
384	2048	0.5	0.933659385120968	222
384	2048	0.8	0.931482534441029	123
512	64	0.5	0.9330264859418	217
512	64	0.8	0.931117214751937	172
512	256	0.5	0.932142264263064	101
512	256	0.8	0.932546640380567	126
512	512	0.5	0.932978640164864	101
512	512	0.8	0.932882552099029	98
512	1024	0.5	0.933368411425043	169
512	1024	0.8	0.93145213519049	165
512	2048	0.5	0.933659385120968	222
512	2048	0.8	0.931482534441029	123
