Feature	Gain	Cover	Frequency
ctrx_quarter	0.182140069187882	0.0874898441242816	0.0126678876678877
mcaja_ahorro	0.116847185713051	0.0695309145343564	0.0146520146520147
mcuentas_saldo	0.0468795124849965	0.0359422097661702	0.0189255189255189
mtarjeta_visa_consumo	0.0415529476392391	0.0570879110324625	0.0157203907203907
cdescubierto_preacordado_delta1	0.0370239867683837	0.00514327109633718	0.00167887667887668
ctarjeta_visa_transacciones	0.0351355921422604	0.0313236520459287	0.0102258852258852
foto_mes	0.0305534065416944	0.0284369594387764	0.0444139194139194
cpayroll_trx	0.0237629337029353	0.0562824383379943	0.0120573870573871
mprestamos_personales	0.0219374550228094	0.0132755100265647	0.0183150183150183
mcuenta_corriente	0.021225432132442	0.012331100977751	0.0190781440781441
ctarjeta_visa	0.0185638340304381	0.00636374625475968	0.0028998778998779
mcaja_ahorro_lag1	0.0182005105199357	0.0103258411523847	0.0057997557997558
mpayroll	0.0154332790854073	0.0340098476945953	0.0103785103785104
cdescubierto_preacordado_lag1	0.0150106106592523	0.000213776942559929	0.000610500610500611
Master_status	0.0108579239019399	0.00690582667514861	0.00183150183150183
Visa_msaldototal	0.0107130992344698	0.00830402972034373	0.00641025641025641
Visa_status	0.0105108325779357	0.0144139853309012	0.0054945054945055
cproductos_delta2	0.0100541253127228	0.00665466991419865	0.00641025641025641
mpayroll_sobre_edad	0.00946116651244966	0.0427302698742529	0.0086996336996337
mpasivos_margen	0.00775282247299975	0.0129251601166554	0.00931013431013431
cprestamos_personales_delta2	0.00770129217154221	0.00499586643219472	0.00534188034188034
cdescubierto_preacordado	0.00720905260209925	0.00947634469863895	0.00671550671550672
cproductos	0.00649458995712473	0.0239111483691294	0.0122100122100122
ctrx_quarter_delta1	0.00633942155143676	0.0123935619197945	0.0144993894993895
Visa_status_delta2	0.00617549979665574	0.00101590496069422	0.00152625152625153
mprestamos_personales_delta2	0.00578500494409311	0.00459681732407132	0.0086996336996337
mprestamos_personales_delta1	0.00542409491052931	0.00397767903593855	0.0086996336996337
ctrx_quarter_delta2	0.0053506276728122	0.00899241110117346	0.0114468864468864
