num_leaves	min_data_in_leaf	feature_fraction	AUC	num_iterations
64	64	0.5	0.930114006441469	128
64	64	0.8	0.931749519163159	292
64	256	0.5	0.932542543090277	141
64	256	0.8	0.932130236733503	121
64	512	0.5	0.932982902668473	152
64	512	0.8	0.932081928359276	110
64	1024	0.5	0.933719721024756	144
64	1024	0.8	0.932294623985062	115
64	2048	0.5	0.932069702573733	150
64	2048	0.8	0.93166605339483	125
128	64	0.5	0.929669780871629	106
128	64	0.8	0.931258802565591	84
128	256	0.5	0.932684890885194	149
128	256	0.8	0.931602214968697	81
128	512	0.5	0.932928778785447	109
128	512	0.8	0.932149930161026	148
128	1024	0.5	0.933910377193901	122
128	1024	0.8	0.932817127625041	115
128	2048	0.5	0.932110873732616	122
128	2048	0.8	0.932105388650453	100
256	64	0.5	0.9300037761156	106
256	64	0.8	0.929813417330428	148
256	256	0.5	0.932255402343333	116
256	256	0.8	0.931355320186054	127
256	512	0.5	0.932298423891379	125
256	512	0.8	0.932935552531491	105
256	1024	0.5	0.933590722465945	132
256	1024	0.8	0.932944804477307	87
256	2048	0.5	0.931928081717415	130
256	2048	0.8	0.933177160487953	130
384	64	0.5	0.930396422087514	84
384	64	0.8	0.932075650253186	112
384	256	0.5	0.931301890198964	69
384	256	0.8	0.931078092238199	130
384	512	0.5	0.932078161495622	122
384	512	0.8	0.932604861553883	83
384	1024	0.5	0.934062043019962	104
384	1024	0.8	0.933278337123988	88
384	2048	0.5	0.93199066452233	121
384	2048	0.8	0.932931851753164	187
512	64	0.5	0.931599108958315	160
512	64	0.8	0.931467632199732	106
512	256	0.5	0.930885651765218	58
512	256	0.8	0.928157186858642	111
512	512	0.5	0.932397617967596	88
512	512	0.8	0.932602218140792	109
512	1024	0.5	0.934087618041612	104
512	1024	0.8	0.933033623157145	92
512	2048	0.5	0.93199066452233	121
512	2048	0.8	0.932931851753164	187
